,title,venue,pages,year,type,access,doi
42,An Integrated Approach to Handling Collaborative Diagram Databases on the WWW.,BNCOD,62-65,2002,Conference and Workshop Papers,closed,10.1007/3-540-45495-0_9
43,A collaborative filtering approach for quasi-brain-death EEG analysis.,ICASSP,645-648,2011,Conference and Workshop Papers,closed,10.1109/ICASSP.2011.5946486
44,A Collaborative Approach to Minimize Cellphone Interruptions.,INTERACT,874-877,2009,Conference and Workshop Papers,open,10.1007/978-3-642-03655-2_96
45,Performance Comparison of Collaborative Filtering with k-Anonymized Data by Fuzzy k-Member Clustering.,J. Adv. Comput. Intell. Intell. Informatics,239-245,2014,Journal Articles,open,10.20965/JACIII.2014.P0239
46,Doing Data Right: How Lessons Learned Working with Conventional Data should Inform the Future of Synthetic Data for Recommender Systems.,CoRR,,2021,Informal and Other Publications,open,
47,Evaluating Pre-training Strategies for Collaborative Filtering.,UMAP,175-182,2023,Conference and Workshop Papers,closed,10.1145/3565472.3592949
48,Research Note - In CARSs We Trust: How Context-Aware Recommendations Affect Customers' Trust and Other Business Performance Measures of Recommender Systems.,Inf. Syst. Res.,182-196,2016,Journal Articles,closed,10.1287/ISRE.2015.0610
49,Development of a Reading Material Recommender System Based On Design Science Research Approach.,HICSS,1-10,2019,Conference and Workshop Papers,open,
50,Collaborative Filtering with Implicit Feedbacks by Discounting Positive Feedbacks.,BigMM,41-48,2016,Conference and Workshop Papers,closed,10.1109/BIGMM.2016.30
51,Modeling and predicting user preferences with multiple item attributes for sequential recommendations.,Knowl. Based Syst.,110174,2023,Journal Articles,closed,10.1016/J.KNOSYS.2022.110174
52,ELIXIR: Learning from User Feedback on Explanations to Improve Recommender Models.,WWW,3850-3860,2021,Conference and Workshop Papers,closed,10.1145/3442381.3449848
53,A Regularization Method with Inference of Trust and Distrust in Recommender Systems.,ECML/PKDD,253-268,2017,Conference and Workshop Papers,closed,10.1007/978-3-319-71246-8_16
54,Analyzing recommender systems for health promotion using a multidisciplinary taxonomy: A scoping review.,Int. J. Medical Informatics,143-155,2018,Journal Articles,closed,10.1016/J.IJMEDINF.2017.12.018
55,A Personalized Information Retrieval Service for an Educational Environment.,Intelligent Tutoring Systems,842-844,2004,Conference and Workshop Papers,closed,10.1007/978-3-540-30139-4_94
56,Mining User Contextual Preferences.,J. Inf. Data Manag.,37-46,2013,Journal Articles,closed,
57,A problem-driven scenario-based approach to collaborative requirement elicitation.,Internetware,22,2009,Conference and Workshop Papers,closed,10.1145/1640206.1640228
58,Consumer Fairness in Recommender Systems: Contextualizing Definitions and Mitigations.,CoRR,,2022,Informal and Other Publications,open,
59,A collaborative foraging approach to web browsing enrichment.,CHI Extended Abstracts,860-861,2002,Conference and Workshop Papers,closed,10.1145/506443.506635
60,Cosine Similarity Based Group Movie Recommendation Scheme Considering Privacy of Users.,ATIS,121-129,2022,Conference and Workshop Papers,closed,10.1007/978-981-99-2264-2_10
61,Integrating Multilingual Text Classification Tasks and User Modeling in Personalized Newspaper Services.,User Modeling,268-270,2001,Conference and Workshop Papers,closed,10.1007/3-540-44566-8_41
62,A Performance Weighted Collaborative Filtering algorithm for personalized radiology education.,J. Biomed. Informatics,107-113,2014,Journal Articles,open,10.1016/J.JBI.2014.04.015
63,Research of hybrid collaborative filtering algorithm based on news recommendation.,CISP-BMEI,898-902,2016,Conference and Workshop Papers,closed,10.1109/CISP-BMEI.2016.7852838
64,A Collaborative Filtering Based Recommender System for Disease Self-management.,CITI,60-71,2017,Conference and Workshop Papers,closed,10.1007/978-3-319-67283-0_5
65,Current challenges and visions in music recommender systems research.,Int. J. Multim. Inf. Retr.,95-116,2018,Journal Articles,open,10.1007/S13735-018-0154-2
66,From Tag to Protect: A Tag-Driven Policy Recommender System for Image Sharing.,PST,337-348,2017,Conference and Workshop Papers,closed,10.1109/PST.2017.00047
67,Distributed Context Aware Collaborative Filtering Approach for Service Selection in Wireless Mesh Networks.,ICCS,357-365,2011,Conference and Workshop Papers,closed,10.1007/978-3-642-22688-5_31
68,Tourism Destination Recommender System for the Cold Start Problem.,KSII Trans. Internet Inf. Syst.,3192-3212,2016,Journal Articles,open,10.3837/TIIS.2016.07.018
69,Active learning strategies for solving the cold user problem in model-based recommender systems.,Web Intell.,269-283,2020,Journal Articles,closed,10.3233/WEB-210448
70,A Recommender Model of Teaching-Learning Techniques.,EPIA,435-446,2017,Conference and Workshop Papers,closed,10.1007/978-3-319-65340-2_36
71,Optimizing Oil and Gas Acquisitions Using Recommender Systems.,CoRR,,2021,Informal and Other Publications,open,
72,Recommender Systems with Heterogeneous Side Information.,WWW,3027-3033,2019,Conference and Workshop Papers,closed,10.1145/3308558.3313580
73,Tag Based Recommender System for Social Bookmarking Sites.,ASONAM,934-940,2012,Conference and Workshop Papers,closed,10.1109/ASONAM.2012.166
74,Prediction of interface preferences with a classifier selection approach.,J. Multimodal User Interfaces,321-349,2013,Journal Articles,closed,10.1007/S12193-013-0127-Y
75,A collaborative cache approach for mobile ad hoc networks.,ISCC,404-410,2009,Conference and Workshop Papers,closed,10.1109/ISCC.2009.5202377
76,Constructing collaborative pedagogical situations in classrooms: a scenario and role based approach.,CSCL,290-299,2002,Conference and Workshop Papers,open,
77,To Design and Implement a Recommender System based on Brainwave: Applying Empirical Model Decomposition (EMD) and Neural Networks.,HICSS,1-9,2019,Conference and Workshop Papers,open,
78,Using Collaborative Filtering in a new domain: traffic analysis.,CERI,6,2016,Conference and Workshop Papers,closed,10.1145/2934732.2934746
79,A Content-Boosted Collaborative Filtering Algorithm for Personalized Training in Interpretation of Radiological Imaging.,J. Digit. Imaging,449-456,2014,Journal Articles,closed,10.1007/S10278-014-9678-Z
80,P-Karaoke: personalized karaoke system.,ACM Multimedia,172-173,2004,Conference and Workshop Papers,closed,10.1145/1027527.1027563
81,Модель рекомендательной системы на нечетких множествах как эффективное расширение коллаборативной модели (The Model of Recommender Systems based on Fuzzy Logic as the Extension of the Collaborative Filtering Model).,DAMDID/RCDL,87-92,2017,Conference and Workshop Papers,open,
82,"Group recommender systems for tourism: how does personality predict preferences for attractions, travel motivations, preferences and concerns?",User Model. User Adapt. Interact.,1141-1210,2023,Journal Articles,open,10.1007/S11257-023-09361-2
83,On-Device Learning with Cloud-Coordinated Data Augmentation for Extreme Model Personalization in Recommender Systems.,CoRR,,2022,Informal and Other Publications,open,
84,A novel non-Gaussian embedding based model for recommender systems.,Neurocomputing,144-152,2018,Journal Articles,closed,10.1016/J.NEUCOM.2017.05.100
85,Tutorial: Sequence-Aware Recommender Systems.,WWW,1316,2019,Conference and Workshop Papers,closed,10.1145/3308560.3320091
86,Predicting Responses of Individual Reasoners in Syllogistic Reasoning by using Collaborative Filtering.,Bridging@CogSci,1,2017,Conference and Workshop Papers,open,
87,Model of Personal Discount Sensitivity in Recommender Systems.,IxD&A,110-123,2016,Journal Articles,open,
88,Towards Creating a Standardized Collection of Simple and Targeted Experiments to Analyze Core Aspects of the Recommender Systems Problem.,CoRR,,2021,Informal and Other Publications,open,
89,A Multi-criteria Collaborative Filtering Approach for Research Paper Recommendation in Papyres.,MCETECH,25-39,2009,Conference and Workshop Papers,closed,10.1007/978-3-642-01187-0_3
90,Managing Changes in Collaborative Networks: A Conceptual Approach.,ICIS,,2011,Conference and Workshop Papers,closed,
91,Evaluating user preferences for video transfer methods from a mobile device to a TV screen.,Pervasive Mob. Comput.,228-241,2013,Journal Articles,closed,10.1016/J.PMCJ.2012.05.003
92,Studying the Effect of Data Structures on the Efficiency of Collaborative Filtering Systems.,CERI,8,2016,Conference and Workshop Papers,closed,10.1145/2934732.2934747
93,T-Recs: Time-aware Twitter-based Drug Recommender System.,ASONAM,1027-1031,2012,Conference and Workshop Papers,closed,10.1109/ASONAM.2012.178
94,Unraveling Cold Start Enigmas in Predictive Analytics for OTT Media: Synergistic Meta-Insights and Multimodal Ensemble Mastery.,CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2305.08120
95,Debiasing the Human-Recommender System Feedback Loop in Collaborative Filtering.,WWW,645-651,2019,Conference and Workshop Papers,closed,10.1145/3308560.3317303
96,Novel Recommendation of User-based Collaborative Filtering.,J. Digit. Inf. Manag.,165-175,2014,Journal Articles,open,
97,An Experimental Study of Building User Profiles for Movie Recommender System.,HPCC/SmartCity/DSS,2559-2565,2019,Conference and Workshop Papers,closed,10.1109/HPCC/SMARTCITY/DSS.2019.00358
98,A research paper recommender system using a Dynamic Normalized Tree of Concepts model for user modelling.,RCIS,200-210,2017,Conference and Workshop Papers,closed,10.1109/RCIS.2017.7956538
99,Documenting collaborative interactions: issues and approaches.,CSCL,737-738,2002,Conference and Workshop Papers,closed,
100,Explainability in Music Recommender Systems.,CoRR,,2022,Informal and Other Publications,open,
101,A Context-aware Collaborative Filtering Approach for Urban Black Holes Detection.,CIKM,2137-2142,2016,Conference and Workshop Papers,closed,10.1145/2983323.2983655
102,Beyond Learners' Interest: Personalized Paper Recommendation Based on Their Pedagogical Features for an e-Learning System.,PRICAI,301-310,2004,Conference and Workshop Papers,closed,10.1007/978-3-540-28633-2_33
103,Effects of preprocessing and training biases in latent factor models for recommender systems.,Neurocomputing,2019-2030,2018,Journal Articles,closed,10.1016/J.NEUCOM.2017.10.040
104,Personal media data organization and retrieval in e-learning: a collaborative tagging based approach.,MTDL@MM,1-8,2009,Conference and Workshop Papers,closed,10.1145/1631111.1631113
105,Integrating User Embedding and Collaborative Filtering for Social Recommendations.,CollaborateCom,470-479,2017,Conference and Workshop Papers,closed,10.1007/978-3-030-00916-8_44
106,Ubiquitous Crowdsourcing Model for Location Recommender System.,J. Comput.,463-471,2016,Journal Articles,open,10.17706/JCP.11.6.463-471
107,Multimodal Review Generation for Recommender Systems.,WWW,1864-1874,2019,Conference and Workshop Papers,closed,10.1145/3308558.3313463
108,Feature Selection for Recommender Systems with Quantum Computing.,CoRR,,2021,Informal and Other Publications,open,
109,Tangible versus graphical user interfaces for robot programming: exploring cross-age children's preferences.,Pers. Ubiquitous Comput.,1775-1786,2013,Journal Articles,closed,10.1007/S00779-013-0641-7
110,Recommender systems for citizens: the CitRec'17 workshop manifesto.,CitRec@RecSys,1:1-1:4,2017,Conference and Workshop Papers,closed,10.1145/3127325.3177871
111,Data Mining Methods for Recommender Systems.,Recommender Systems Handbook,227-262,2015,Reference Works,closed,10.1007/978-1-4899-7637-6_7
112,A trustworthy QoS-based collaborative filtering approach for web service discovery.,J. Syst. Softw.,217-228,2014,Journal Articles,closed,10.1016/J.JSS.2014.01.036
113,Managing Popularity Bias in Recommender Systems with Personalized Re-ranking.,CoRR,,2019,Informal and Other Publications,open,
114,A Collaborative Filtering Based Approach for Recommending Elective Courses.,ICISTM,330-339,2011,Conference and Workshop Papers,closed,10.1007/978-3-642-19423-8_34
115,A machine learning approach to assessing knowledge sharing during collaborative learning activities.,CSCL,128-137,2002,Conference and Workshop Papers,open,
116,"Eighth ACM Conference on Recommender Systems, RecSys '14, Foster City, Silicon Valley, CA, USA - October 06 - 10, 2014",RecSys,,2014,Editorship,,
117,Help to find the needle in a haystack: integrating recommender systems in an IT supported staff recruitment system.,CPR,7-12,2009,Conference and Workshop Papers,closed,10.1145/1542130.1542133
118,Group Recommender Model Based on Preference Interaction.,ADMA,132-147,2017,Conference and Workshop Papers,closed,10.1007/978-3-319-69179-4_10
119,Data Sparsity: A Key Disadvantage of User-Based Collaborative Filtering?,APWeb,602-609,2012,Conference and Workshop Papers,closed,10.1007/978-3-642-29253-8_55
120,Algorithmic Approach to Calculating Minimal Resource Allocation Recommender for Grid Using Reliability and Trust Computations.,ACC,382-398,2011,Conference and Workshop Papers,closed,10.1007/978-3-642-22709-7_39
121,Scientific Matchmaker: Collaborator Recommender System.,AIST,404-410,2017,Conference and Workshop Papers,closed,10.1007/978-3-319-73013-4_37
122,Latent Linear Critiquing for Conversational Recommender Systems.,WWW,2535-2541,2020,Conference and Workshop Papers,closed,10.1145/3366423.3380003
123,GeoDCF: Deep Collaborative Filtering with Multifaceted Contextual Information in Location-Based Social Networks.,ECML/PKDD,709-724,2018,Conference and Workshop Papers,closed,10.1007/978-3-030-10928-8_42
124,Hybrid recommender systems: A systematic literature review.,Intell. Data Anal.,1487-1524,2017,Journal Articles,closed,10.3233/IDA-163209
125,Do Users Want Platform Moderation or Individual Control? Examining the Role of Third-Person Effects and Free Speech Support in Shaping Moderation Preferences.,CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2301.02208
126,DeepReco: Deep Learning Based Health Recommender System Using Collaborative Filtering.,Comput.,25,2019,Journal Articles,open,10.3390/COMPUTATION7020025
127,Biclustering ARTMAP collaborative filtering recommender system.,IJCNN,2986-2991,2016,Conference and Workshop Papers,closed,10.1109/IJCNN.2016.7727578
128,CDAI: a novel collaborative detection approach for impersonation attacks in vehicular ad-hoc networks.,Secur. Commun. Networks,5547-5562,2016,Journal Articles,closed,10.1002/SEC.1716
129,Towards employing recommender systems for supporting data and algorithm sharing.,DE@CoNEXT,8-14,2022,Conference and Workshop Papers,closed,10.1145/3565011.3569055
130,Intention-Aware User Modeling for Personalized News Recommendation.,DASFAA,179-194,2023,Conference and Workshop Papers,closed,10.1007/978-3-031-30672-3_12
131,Attentive Long Short-Term Preference Modeling for Personalized Product Search.,ACM Trans. Inf. Syst.,19:1-19:27,2019,Journal Articles,closed,10.1145/3295822
132,On the Effectiveness of Prioritized User-Profile and Detecting Active Users in Collaborative Filtering Recommender Systems.,ICDE Workshops,863-870,2007,Conference and Workshop Papers,closed,10.1109/ICDEW.2007.4401077
133,Personalized Decision Support System Based on Clinical Practice Guidelines.,pHealth,308-310,2015,Conference and Workshop Papers,closed,10.3233/978-1-61499-516-6-308
134,A Comparative Evaluation of User Preferences for Mobile Chat Usable Interface.,APCHI,258-265,2008,Conference and Workshop Papers,closed,10.1007/978-3-540-70585-7_29
135,Users with Motor Impairments' Preferences for Smart Wearables to Access and Interact with Ambient Intelligence Applications and Services.,ISAmI,11-21,2021,Conference and Workshop Papers,closed,10.1007/978-3-031-06894-2_2
136,Pattern Specification and Matching in Conceptual Models - A Generic Approach Based on Set Operations.,Enterp. Model. Inf. Syst. Archit. Int. J. Concept. Model.,24-43,2010,Journal Articles,open,10.18417/EMISA.5.3.2
137,A Collaborative Filtering Algorithm based on Entropy and Trust Optimized Neighbor Selection.,CSCWD,1293-1298,2022,Conference and Workshop Papers,closed,10.1109/CSCWD54268.2022.9776039
138,Measuring and Ensuring Similarity of User Interfaces: The Impact of Web Layout.,WISE,252-260,2016,Conference and Workshop Papers,closed,10.1007/978-3-319-48740-3_18
139,Movie Genres Classification using Collaborative Filtering.,iiWAS,35-44,2019,Conference and Workshop Papers,closed,10.1145/3366030.3366034
140,A new hybrid approach for constructing the concept map based on fuzzy prerequisite relationships.,CIST,115-121,2014,Conference and Workshop Papers,closed,10.1109/CIST.2014.7016604
141,Einsatz von Recommender-Systemen zur personalisierten Informationsversorgung im Standardberichtswesen von Data-Warehouse-Systemen.,Wirtschaftsinformatik,349-358,2009,Conference and Workshop Papers,closed,
142,Personalized Book Recommender System Based on Chinese Library Classification.,WISA,127-131,2017,Conference and Workshop Papers,closed,10.1109/WISA.2017.42
143,User Preferences in Evaluating Usability of Software Product: A Multicriteria Approach.,BIS,182-187,1999,Conference and Workshop Papers,closed,10.1007/978-1-4471-0875-7_16
144,An Incremental Approach for Collaborative Filtering in Streaming Scenarios.,ECIR,632-637,2018,Conference and Workshop Papers,closed,10.1007/978-3-319-76941-7_55
145,Ubiquitous User Modeling in Recommender Systems.,User Modeling,496-498,2005,Conference and Workshop Papers,closed,10.1007/11527886_68
146,A recommender System for Restaurant Reviews Based on Consumer Segment.,AMCIS,,2017,Conference and Workshop Papers,closed,
147,Social Collaborative Filtering Ensemble.,PRICAI,1005-1017,2018,Conference and Workshop Papers,closed,10.1007/978-3-319-97304-3_77
148,Educational recommender systems and their application in lifelong learning.,Behav. Inf. Technol.,290-297,2016,Journal Articles,closed,10.1080/0144929X.2015.1128977
149,Trust-based Recommender System for Fake News Mitigation.,UMAP,104-109,2023,Conference and Workshop Papers,closed,10.1145/3563359.3597395
150,Reducing cold start problems in educational recommender systems.,IJCNN,3143-3149,2016,Conference and Workshop Papers,closed,10.1109/IJCNN.2016.7727600
151,Climate Recommender System for Wheat Cultivation in North Egyptian Sinai Peninsula.,IBICA,121-130,2014,Conference and Workshop Papers,closed,10.1007/978-3-319-08156-4_13
152,A new user similarity model to improve the accuracy of collaborative filtering.,Knowl. Based Syst.,156-166,2014,Journal Articles,open,10.1016/J.KNOSYS.2013.11.006
153,User Preferences for Automated Curation of Snackable Content.,IUI,270-274,2021,Conference and Workshop Papers,closed,10.1145/3397481.3450690
154,Cognitive Diagnosis-Based Personalized Exercise Group Assembly via a Multi-Objective Evolutionary Algorithm.,IEEE Trans. Emerg. Top. Comput. Intell.,829-844,2023,Journal Articles,closed,10.1109/TETCI.2022.3220812
155,A Hybrid Approach of Text Segmentation Based on Sensitive Word Concept for NLP.,CICLing,375-388,2001,Conference and Workshop Papers,closed,10.1007/3-540-44686-9_37
156,"Poster Proceedings of the 8th ACM Conference on Recommender Systems, RecSys 2014, Foster City, Silicon Valley, CA, USA, October 6-10, 2014",CEUR Workshop Proceedings,,2014,Editorship,open,
157,Hands-on the process control: users preferences and associations on hand movements.,CHI Extended Abstracts,3063-3068,2008,Conference and Workshop Papers,closed,10.1145/1358628.1358808
158,Client Time Series Model: a Multi-Target Recommender System based on Temporally-Masked Encoders.,RecSys,512-515,2022,Conference and Workshop Papers,closed,10.1145/3523227.3547397
159,Analyzing Distinct Neural Network Models for Oxygen Saturation Prediction Towards a Personalized COPD Management.,e-Science,1-8,2023,Conference and Workshop Papers,closed,10.1109/E-SCIENCE58273.2023.10254844
160,Cold start aware hybrid recommender system approach for E-commerce users.,Soft Comput.,2071-2091,2023,Journal Articles,closed,10.1007/S00500-022-07378-0
161,A Graph-Based Approach for Mitigating Multi-Sided Exposure Bias in Recommender Systems.,ACM Trans. Inf. Syst.,32:1-32:31,2022,Journal Articles,closed,10.1145/3470948
162,An Investigation of the Effectiveness of Concept-based Approach in Medical Information Retrieval.,CLEF,236-247,2014,Conference and Workshop Papers,open,
163,Collaborative Filtering via Temporal Euclidean Embedding.,APWeb,513-520,2012,Conference and Workshop Papers,closed,10.1007/978-3-642-29253-8_44
164,A Recommender System Model Combining Trust with Topic Maps.,APWeb,208-219,2013,Conference and Workshop Papers,closed,10.1007/978-3-642-37401-2_22
165,Recommender systems - : beyond matrix completion.,Commun. ACM,94-102,2016,Journal Articles,closed,10.1145/2891406
166,A Hybrid Recommender System Architecture for Learning Objects.,"Evolutionary Design of Intelligent Systems in Modeling, Simulation and Control",205-211,2009,Parts in Books or Collections,closed,10.1007/978-3-642-04514-1_11
167,Statistical mechanics approach for collaborative business social network reconstruction.,Soc. Netw. Anal. Min.,35:1-35:14,2016,Journal Articles,closed,10.1007/S13278-016-0342-0
168,Collaborative Heterogeneous Information Embedding for Recommender Systems.,APWeb/WAIM Workshops,249-256,2017,Conference and Workshop Papers,closed,10.1007/978-3-319-69781-9_24
169,Node Duplication Improves Cold-start Link Prediction.,CoRR,,2024,Informal and Other Publications,open,10.48550/ARXIV.2402.09711
170,An efficient method for autoencoder-based collaborative filtering.,Concurr. Comput. Pract. Exp.,,2019,Journal Articles,closed,10.1002/CPE.4507
171,Binary Collaborative Filtering Ensemble.,PRICAI,993-1004,2018,Conference and Workshop Papers,closed,10.1007/978-3-319-97304-3_76
172,Skeleton Searching Strategy for Recommender Searching Mechanism of Trust-Aware Recommender Systems.,Comput. J.,1876-1883,2015,Journal Articles,closed,10.1093/COMJNL/BXU011
173,Meta-Learning for Online Update of Recommender Systems.,AAAI,4065-4074,2022,Conference and Workshop Papers,open,10.1609/AAAI.V36I4.20324
174,Evaluating user preferences for adaptive reminding.,CHI Extended Abstracts,2949-2954,2008,Conference and Workshop Papers,closed,10.1145/1358628.1358789
175,Enhancing Personalized Recommendation by Implicit Preference Communities Modeling.,ACM Trans. Inf. Syst.,48:1-48:32,2019,Journal Articles,closed,10.1145/3352592
176,Assessing the value of unrated items in collaborative filtering.,ICDIM,212-216,2007,Conference and Workshop Papers,closed,10.1109/ICDIM.2007.4444225
177,Being Guided or Having Exploratory Freedom: User Preferences of a Virtual Agent's Behavior in a Museum.,IVA,33-40,2021,Conference and Workshop Papers,closed,10.1145/3472306.3478339
178,A Hybrid Collaborative Filtering Model with Deep Structure for Recommender Systems.,AAAI,1309-1315,2017,Conference and Workshop Papers,open,10.1609/AAAI.V31I1.10747
179,eOrient@ - A Recommender System to Address Life-Long Learning and Promote Employability.,INCoS,351-356,2016,Conference and Workshop Papers,closed,10.1109/INCOS.2016.34
180,An intelligent location recommender system utilising multi-agent induced cognitive behavioural model.,Enterp. Inf. Syst.,1376-1394,2021,Journal Articles,closed,10.1080/17517575.2020.1812003
181,Hybrid Sampling Light Graph Collaborative Filtering for Social Recommendation.,CSSE,121-128,2022,Conference and Workshop Papers,closed,10.1145/3569966.3570002
182,"A Structured Approach to Support Collaborative Design, Specification and Documentation of Communication Protocols.",ENASE,367-375,2018,Conference and Workshop Papers,closed,10.5220/0006787503670375
183,Une approche épiphyte pour la conception de systèmes conseillers. (An epiphyte approach for building Model-Based Recommender Systems).,,,2008,Books and Theses,open,
184,PePe: Personalized Post-editing Model utilizing User-generated Post-edits.,EACL,239-253,2023,Conference and Workshop Papers,open,10.18653/V1/2023.FINDINGS-EACL.18
